,Asset Type,Name,Xorg,Xsource,Address Point,Artist,Alternate Name,Art Date,Mel way Ref,Respective Author,Structure,Easting,Northing,Latitude,Longitude
130,Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,320391.0221,5812180.682159999,-37.82012299082, 144.959360068025
131,Art,Grotto Waterfall,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Kings Domain, Alexandra Avenue, MELBOURNE",unknown,,1981,2G_A10,City Of Melbourne,Basalt and cement,321936.01,5811601.88,-37.8256393190193, 144.976761073829
132,Art,Personal Islands,City of Melbourne,MCC - Ortho Image March 2005 - Final,"201 Swanston Street, MELBOURNE",Robert Jacks,,1992,2F_F3,City Of Melbourne,Brass and bluestone,320893.469,5812987.53,-37.8129540664935, 144.965264917067
133,Art,Boy and Pelican,City of Melbourne,MCC - Ortho Image March 2005 - Final,"84 Clarendon Street, EAST MELBOURNE",William Leslie Bowles,,1936,2G_D3,City Of Melbourne,Pyrmont sandstone sculpture,322436.609,5812930.687999999,-37.8137675376712, 144.982771754404
134,Art,Blowhole,Beveridge Williams Surveyors,Field Survey,"13 Harbour Esplanade, DOCKLANDS",Duncan Stemler,,2005,2E_G8,City of Melbourne,Stainless-steel and aluminium sculpture,319287.731,5811949.743,-37.8219853561923, 144.946774675143
135,Art,Temple of the Winds,City of Melbourne,MCC - Ortho Image March 2005 - Final,"116 Clarendon Street, EAST MELBOURNE",Thomas Jones & Co,,1873,2G_C3,City Of Melbourne,Masonry and bluestone rotunda,322343.12,5813035.012,-37.8128096374869, 144.981735857931
136,Art,Federation Bells,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,,2002,2F_ K6,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,321692.15629,5812364.96201,-37.8187182202074, 144.974179856228
137,Art,Birrarung Wilam,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE","Vicki Couzens, Lee Darroch and Treahna Hamm",,2006,2F_ H6,City of Melbourne,"Stone, wood, stainless steel, bronze, nickel and audio installation",321488.18484,5812374.611830001,-37.8185914278651, 144.971866175309
138,Art,Ned and Dan,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"20 Doepel Way, DOCKLANDS",Alexander Knox,,2006,2E_E4,VicUrban,Three-dimensional frieze,318701.26399999997,5812719.544,-37.8149351757693, 144.940308036389
139,Art,Within Three Worlds,City of Melbourne,MCC - Ortho Image March 2005 - Final,"684 Park Street, CARLTON NORTH",Loretta Quinn,,1995,29_G10,City Of Melbourne,Bronze sculpture,320445.396,5816762.533,-37.7788627462445, 144.961112677408
140,Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,320399.09465,5812183.18954,-37.8201019944052, 144.959452353426
141,Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,320377.0786,5812174.7500599995,-37.8201736797154, 144.959200268537
142,Art,Art Wall,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"156 Harbour Esplanade, DOCKLANDS",Peter D. Cole,,2000,2E_G4,VicUrban,3D Installation,319216.512,5812632.597,-37.8158205285983, 144.946136474106
143,Art,Hotham Hill Seat,City of Melbourne,MCC - Ortho Image March 2005 - Final,76 Canning Street,"Bernice McPherson, Di Christensen and Craig Perry",,,2A_E5,City Of Melbourne,Steel seat,318655.218,5814938.933999999,-37.7949351874639, 144.940340735749
144,Art,IOU,Beveridge Williams Surveyors,Field Survey,"7 Waterview Walk, DOCKLANDS",Mikala Dwyer,,2005,2E_H7,VicUrban,Stainless steel and toughened glass,319384.284,5812159.836,-37.820112083979, 144.947923460104
145,Art,Art Wall,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"160 Harbour Esplanade, DOCKLANDS",Peter D. Cole,,2000,2E_G4,VicUrban,3D Installation,319222.03,5812646.674,-37.8156948270259, 144.946202651563
146,Art,IOU,Beveridge Williams Surveyors,Field Survey,"9 Waterview Walk, DOCKLANDS",Mikala Dwyer,,2005,2E_H7,VicUrban,Stainless steel and toughened glass,319381.652,5812163.007,-37.8200830017644, 144.947894374833
147,Art,IOU,Beveridge Williams Surveyors,Field Survey,"7 Waterview Walk, DOCKLANDS",Mikala Dwyer,,2005,2E_H7,VicUrban,Stainless steel and toughened glass,319386.577,5812157.473999999,-37.8201338075104, 144.947948917363
148,Art,Ned and Dan,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"21 Rakaia Way, DOCKLANDS",Alexander Knox,,2006,2E_E4,VicUrban,Three-dimensional frieze,318747.378,5812746.73,-37.8146994633064, 144.940838425061
149,Art,Ned and Dan,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"16 Doepel Way, DOCKLANDS",Alexander Knox,,2006,2E_E4,VicUrban,Three-dimensional frieze,318693.527,5812734.044,-37.8148030334672, 144.940223820648
150,Art,Ned and Dan,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"37 Caravel Lane, DOCKLANDS",Alexander Knox,,2006,2E_E4,VicUrban,Three-dimensional frieze,318726.738,5812765.722999999,-37.81452427966, 144.940608832218
151,Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,320396.83189000003,5812182.883769999,-37.8201043033663, 144.959426584028
152,Art,Diana and the Hounds,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Conservatory, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",Sculptor William Leslie Bowles; founder A.B. Brunton,,1940,2G_B4,City Of Melbourne,Cast bronze statue on granite pedestal,322061.795,5812862.722,-37.8143067586398, 144.978499373084
153,Art,Dairy Hall Window,City of Melbourne,MCC - Ortho Image March 2005 - Final,"62 Therry Street, MELBOURNE",Artist Bernice McPherson; architect Craig Perry,,1996,2B_C12,City Of Melbourne,Glass and steel window,320351.929,5813613.775,-37.8072067768463, 144.959271667297
154,Art,Domed Drinking Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",unknown,,,2F_H7,City Of Melbourne,Marble and granite drinking fountain,321398.034,5812078.566000001,-37.8212404231762, 144.970769495267
155,Art,Eagle,VicUrban (Docklands),AAM Hatch Photogrammetry - March 2005,"22 Wurundjeri Way, DOCKLANDS",Bruce Armstrong,,2003,2E_K7,VicUrban,Sculpture,319779.06,5812100.482000001,-37.8207247436456, 144.952391322514
156,Art,Weathervanes,City of Melbourne,MCC - Ortho Image March 2005 - Final,"270 Bourke Street, MELBOURNE",Daniel Jenkins,,1993,2F_F3,City Of Melbourne,Hand-beaten copper sculpture with gold-leaf detail,320916.858,5812928.72,-37.8134883855915, 144.965515931433
157,Art,Weathervanes,City of Melbourne,MCC - Ortho Image March 2005 - Final,"178 Swanston Street, MELBOURNE",Daniel Jenkins,,1993,2F_F3,City Of Melbourne,Hand-beaten copper sculpture with gold-leaf detail,320937.797,5812919.499,-37.8135755457342, 144.965751391423
158,Art,Webb Bridge,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"50 River Esplanade, DOCKLANDS",Robert Owen and Denton Corker Marshall,,2003,2E_H9,VicUrban,Pedestrian and cyclist bridge,319332.935,5811729.774,-37.8239756487966, 144.947233077573
159,Art,Weathervanes,City of Melbourne,MCC - Ortho Image March 2005 - Final,"271 Bourke Street, MELBOURNE",Daniel Jenkins,,1993,2F_F3,City Of Melbourne,Hand-beaten copper sculpture with gold-leaf detail,320922.76300000004,5812913.504,-37.8136266014549, 144.965579210749
160,Art,Outside Inside Out,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"27 Caravel Lane, DOCKLANDS",Matthew McCarthy,,2006,2E_E4,VicUrban,Mural,318772.226,5812785.05,-37.814359230579, 144.941130138162
161,Art,Model Tudor Village,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Cook's Cottage, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",Edgar Wilson,,1948,2G_C3,City Of Melbourne,Painted cement model,322280.503,5812983.966,-37.8132572520671, 144.981012379899
162,Art,The Travellers,City of Melbourne,MCC - Ground Ortho Image March 2008,"Sandridge Bridge, SOUTHBANK",Artist Nadim Karam; manufacturer Arup Engineering,,2005,2F_E7,City Of Melbourne,Stainless-steel tubing and glass panel installation,320643.27793000004,5812122.14905,-37.8206998343058, 144.962209921997
163,Art,Commonwealth Games Aquatic Sculptures - Eels,City of Melbourne,MCC - Ground Ortho Image March 2008,"Kensington Community Recreation Centre, KENSINGTON",unknown,,2006,"42, J3",City Of Melbourne,Painted steel sculptures,317247.51149,5814719.73186,-37.7966290593729, 144.924306764698
164,Art,Poise,Qasco,MCC - Ground Ortho Image March 2007,"110 Harbour Esplanade, DOCKLANDS",Warren Langley,,2005,2E_G6,VicUrban,Glass,319282.966,5812390.92,-37.8180105674976, 144.946830696021
165,Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,320403.74248,5812183.73994,-37.820097951228, 144.959505265904
166,Art,Chinese Lion Guardians,City of Melbourne,MCC - Ortho Image March 2008 - Final,"Cohen Pl, CHINATOWN",unknown,,unknown,2F_G2,City Of Melbourne,Marble lions,321248.7929,5813184.029725,-37.8112537359422, 144.969347727216
167,Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,320374.38775,5812169.612980001,-37.8202194220305, 144.959168439493
168,Art,Island Wave,City of Melbourne,MCC - Ortho Image March 2005 - Final,"404 Queen Street, MELBOURNE",Lisa Young,,2003,2F_B1,City Of Melbourne,Steel sculpture on concrete footing,320250.148,5813376.235,-37.809326383142, 144.958057203226
169,Art,Walk of Stars,Beveridge Williams Surveyors,Field Survey,"435 Docklands Drive, DOCKLANDS",Peter Cortlett and Jamie Cooper,,2006,2E_D4,VicUrban,Bronze statue and plaques,318571.443,5812676.372,-37.8152982442351, 144.938823236515
170,Art,Painted Poles,City of Melbourne,MCC - Ortho Image March 2005 - Final,"322 Swanston Street, MELBOURNE",Jennifer McCarthy,,1992,2F_E1,City Of Melbourne,Metal poles,320782.625,5813320.555,-37.8099325911658, 144.964088812819
171,Art,Painted Poles,City of Melbourne,MCC - Ortho Image March 2005 - Final,"316 Swanston Street, MELBOURNE",Jennifer McCarthy,,1992,2F_E1,City Of Melbourne,Metal poles,320789.74100000004,5813302.472,-37.8100968762417, 144.964165129049
172,Art,Painted Poles,City of Melbourne,MCC - Ortho Image March 2005 - Final,"308 Swanston Street, MELBOURNE",Jennifer McCarthy,,1992,2F_E1,City Of Melbourne,Metal poles,320800.51300000004,5813274.922,-37.810347145096, 144.964280610813
173,Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,320379.52483,5812176.2178,-37.8201609405995, 144.95922840946
174,Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,320416.70749,5812188.14315,-37.8200608408543, 144.959653574985
175,Art,Time and Tide,City of Melbourne,MCC - Ortho Image March 2005 - Final,"252 Little Collins Street, MELBOURNE",Akio Makigawa,,1994,2F_F4,City Of Melbourne,"Bluestone, white marble, bronze and stainless-steel sculpture",320983.757,5812829.149,-37.8143983948935, 144.96625088381
176,Art,Car Nuggets,Qasco,MCC - Ground Ortho Image March 2007,"15 Batmans Hill Drive, DOCKLANDS",Patricia Piccinini,,2006,2E_H8,VicUrban,Sculptural forms,319497.953,5811981.772000001,-37.8217384627114, 144.949169769731
177,Art,Car Nuggets,Qasco,MCC - Ground Ortho Image March 2007,"15 Batmans Hill Drive, DOCKLANDS",Patricia Piccinini,,2006,2E_H8,VicUrban,Sculptural forms,319497.82899999997,5811983.322000001,-37.8217244747982, 144.949168740276
178,Art,Eel Trap,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE",Fiona Clarke and Ken McKean,,2003,"2F, K6",,Plate-steel sculpture,321683.96784,5812319.93722,-37.8191221824373, 144.97407578866
179,Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,320381.60412,5812176.95166,-37.8201547396011, 144.959252201884
180,Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,320419.0314,5812188.9381800005,-37.8200541369817, 144.959680160075
181,Art,Walk of Stars,Beveridge Williams Surveyors,Field Survey,"435 Docklands Drive, DOCKLANDS",Peter Cortlett and Jamie Cooper,,2006,2E_D4,VicUrban,Bronze statue and plaques,318574.019,5812682.267000001,-37.8152456579572, 144.938853960352
182,Art,Parrallax,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"47 Wurundjeri Way, DOCKLANDS",Ari Purhonen,,2002,2E_J6,VicUrban,Public installation,319682.51399999997,5812222.569,-37.8196059887556, 144.951325455868
183,Art,Photo art billboard,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"56 Lorimer Street, DOCKLANDS",Various artists,,various,2E_H9,VicUrban,Photographic images,319352.271,5811626.855,-37.8249065059188, 144.947426953214
184,Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,320392.91792,5812181.41603,-37.8201167536871, 144.959381777078
185,Art,Railway Viewing Platform,City of Melbourne,MCC - Ortho Image March 2005 - Final,"90 Railway Place, WEST MELBOURNE",Designer Bernice McPherson; architects Craig Perry and Peter Dann,,1994,2A_F12,City Of Melbourne,Metal platform,318983.89,5813405.02,-37.8088169283775, 144.943688304136
186,Art,Federation Bells,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,,2002,2F_ K6,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,321685.0173,5812370.537219999,-37.8186666064737, 144.974100167285
187,Art,Westgarth Drinking Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"9 Nicholson Street, CARLTON",Alexander McDonald & Co,,c. 1888,2B_J11,City Of Melbourne,Aberdeen pink-granite and bronze drinking fountain,321592.225,5813875.629,-37.8050913081625, 144.973417274498
188,Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,320405.82177,5812184.10688,-37.8200950553396, 144.95952896712
189,Art,Car Nuggets,Qasco,MCC - Ground Ortho Image March 2007,"15 Batmans Hill Drive, DOCKLANDS",Patricia Piccinini,,2006,2E_H8,VicUrban,Sculptural forms,319495.522,5811981.535,-37.8217401147159, 144.949142099572
190,Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,320411.50925,5812185.4523,-37.820084055671, 144.959593881825
191,Art,Painted Poles,City of Melbourne,MCC - Ortho Image March 2005 - Final,"78 Swanston Street, MELBOURNE",Maree Clarke and Sonja Hodge,,1992,2F_F5,City Of Melbourne,Metal poles,321038.531,5812681.28,-37.8157410618987, 144.966836246828
192,Art,Angel,Owned by National Gallery of Victoria,MCC - Ortho Image March 2008 - Final,Birrarung Marr,Deborah Halpern,,1988,2F_J6,National Gallery of Victoria,"Ceramic, steel and concrete sculpture",321585.273,5812336.4415625,-37.8189542313538, 144.972959186532
193,Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,320401.35741,5812182.94492,-37.8201046430242, 144.959477986287
