,Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,Latitude,Longitude
0,2015,242,104461,104461,191-197 Grattan Street,Carlton,Prince Alfred Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,40,-37.80045792, 144.962209
1,2015,242,104461,104461,191-197 Grattan Street,Carlton,Prince Alfred Hotel,4520,"Pubs, Taverns and Bars",Seats - Outdoor,30,-37.80045792, 144.962209
2,2015,257,105516,105516,154-160 Leicester Street,Carlton,The Corkman Irish Pub,4520,"Pubs, Taverns and Bars",Seats - Indoor,150,-37.80243195, 144.960916
3,2015,257,105516,105516,154-160 Leicester Street,Carlton,The Corkman Irish Pub,4520,"Pubs, Taverns and Bars",Seats - Outdoor,10,-37.80243195, 144.960916
4,2015,266,106081,106081,27-31 Lygon Street,Carlton,John Curtin Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,71,-37.80619915, 144.9656988
5,2015,266,106081,106081,27-31 Lygon Street,Carlton,John Curtin Hotel,4520,"Pubs, Taverns and Bars",Seats - Outdoor,16,-37.80619915, 144.9656988
6,2015,215,108202,108202,415-421 Rathdowne Street,Carlton,The Beaufort,4520,"Pubs, Taverns and Bars",Seats - Indoor,80,-37.79652005, 144.9704262
7,2015,218,106215,106215,298 Lygon Street,Carlton,Carlton Yacht Club Bar,4520,"Pubs, Taverns and Bars",Seats - Outdoor,40,-37.79998572, 144.9673764
8,2015,267,106251,106251,66-88 Lygon Street,Carlton,Lagers On Lygon,4520,"Pubs, Taverns and Bars",Seats - Indoor,30,-37.80530329, 144.9665747
9,2015,218,106222,106222,270-276 Lygon Street,Carlton,University Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,60,-37.8005263, 144.9672432
10,2015,218,106222,106222,270-276 Lygon Street,Carlton,University Hotel,4520,"Pubs, Taverns and Bars",Seats - Outdoor,58,-37.8005263, 144.9672432
11,2015,264,109322,109322,593-597 Swanston Street,Carlton,Queensberry Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,60,-37.80475348, 144.9629068
12,2015,204,101613,101613,377-391 Cardigan Street,Carlton,Clyde Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,70,-37.79725532, 144.9657541
13,2015,204,101613,101613,377-391 Cardigan Street,Carlton,Clyde Hotel,4520,"Pubs, Taverns and Bars",Seats - Outdoor,50,-37.79725532, 144.9657541
14,2015,255,101593,101593,91-95 Cardigan Street,Carlton,Hotel Lincoln,4520,"Pubs, Taverns and Bars",Seats - Indoor,62,-37.80448528, 144.9645057
15,2015,255,101593,101593,91-95 Cardigan Street,Carlton,Hotel Lincoln,4520,"Pubs, Taverns and Bars",Seats - Outdoor,20,-37.80448528, 144.9645057
16,2015,214,106186,106186,414-422 Lygon Street,Carlton,Astor Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,40,-37.79694555, 144.9678126
17,2015,247,106238,106238,192-202 Lygon Street,Carlton,Players On Lygon,4520,"Pubs, Taverns and Bars",Seats - Outdoor,20,-37.80245924, 144.9670522
18,2015,252,106244,106244,160-162 Lygon Street,Carlton,Bar Centrale,4520,"Pubs, Taverns and Bars",Seats - Indoor,73,-37.80344164, 144.9667699
19,2015,252,106244,106244,160-162 Lygon Street,Carlton,Bar Centrale,4520,"Pubs, Taverns and Bars",Seats - Outdoor,50,-37.80344164, 144.9667699
20,2015,260,103276,103276,614-616 Elizabeth Street,Carlton,The Last Jar,4520,"Pubs, Taverns and Bars",Seats - Indoor,90,-37.80389369, 144.9589387
21,2015,37,102158,102158,86-88 Collins Street,Melbourne (CBD),Collins Quarter ,4520,"Pubs, Taverns and Bars",Seats - Indoor,171,-37.81393777, 144.9705847
22,2015,37,102158,102158,86-88 Collins Street,Melbourne (CBD),Collins Quarter ,4520,"Pubs, Taverns and Bars",Seats - Outdoor,90,-37.81393777, 144.9705847
23,2015,57,106433,106433,18-24 Market Lane,Melbourne (CBD),Ding Dong Lounge,4520,"Pubs, Taverns and Bars",Seats - Indoor,80,-37.81175137, 144.9694031
24,2015,57,101217,101217,124-128 Bourke Street,Melbourne (CBD),Welcome Stranger,4520,"Pubs, Taverns and Bars",Seats - Indoor,60,-37.81207094, 144.9692645
25,2015,57,103599,103599,169-171 Exhibition Street,Melbourne (CBD),1806,4520,"Pubs, Taverns and Bars",Seats - Indoor,107,-37.81165123, 144.9700684
26,2015,17,103925,103925,121-123 Flinders Lane,Melbourne (CBD),Fashion Lounge,4520,"Pubs, Taverns and Bars",Seats - Indoor,100,-37.81567009, 144.9705132
27,2015,77,108573,108573,270 Russell Street,Melbourne (CBD),Whisky and Alement,4520,"Pubs, Taverns and Bars",Seats - Indoor,45,-37.81011116, 144.9671591
28,2015,57,101221,101221,94-96 Bourke Street,Melbourne (CBD),The Elephant and Wheelbarrow,4520,"Pubs, Taverns and Bars",Seats - Indoor,240,-37.81191058, 144.9702485
29,2015,57,101221,101221,94-96 Bourke Street,Melbourne (CBD),The Elephant and Wheelbarrow,4520,"Pubs, Taverns and Bars",Seats - Outdoor,36,-37.81191058, 144.9702485
30,2015,17,574438,574438,84-94 Flinders Street,Melbourne (CBD),Eau-De-Vie ,4520,"Pubs, Taverns and Bars",Seats - Indoor,136,-37.81587662, 144.9716757
31,2015,48,106559,106559,20 Meyers Place,Melbourne (CBD),Meyers Place Bar,4520,"Pubs, Taverns and Bars",Seats - Indoor,63,-37.81207814, 144.9723505
32,2015,57,101214,101214,146-150 Bourke Street,Melbourne (CBD),FM Karaoke Bar,4520,"Pubs, Taverns and Bars",Seats - Indoor,15,-37.81235798, 144.9687387
33,2015,17,104021,104021,142-148 Flinders Street,Melbourne (CBD),The Duke,4520,"Pubs, Taverns and Bars",Seats - Outdoor,12,-37.81640747, 144.9700863
34,2015,27,102064,102064,69-73 Collins Street,Melbourne (CBD),La Chinesca,4520,"Pubs, Taverns and Bars",Seats - Indoor,110,-37.8143446, 144.9713489
35,2015,87,106057,106057,106 Little Lonsdale Street,Melbourne (CBD),Troika Bar ,4520,"Pubs, Taverns and Bars",Seats - Indoor,60,-37.8091536, 144.96859
36,2015,87,106057,106057,106 Little Lonsdale Street,Melbourne (CBD),Troika Bar ,4520,"Pubs, Taverns and Bars",Seats - Outdoor,8,-37.8091536, 144.96859
37,2015,58,108986,108986,161 Spring Street,Melbourne (CBD),Singlo Bar,4520,"Pubs, Taverns and Bars",Seats - Indoor,80,-37.8109513, 144.9724291
38,2015,37,102158,102158,86-88 Collins Street,Melbourne (CBD),Ra,4520,"Pubs, Taverns and Bars",Seats - Indoor,55,-37.81393777, 144.9705847
39,2015,114,104090,104090,422-428 Queen Street,Melbourne (CBD),Muleta's,4520,"Pubs, Taverns and Bars",Seats - Indoor,100,-37.80861319, 144.9581156
40,2015,114,104090,104090,422-428 Queen Street,Melbourne (CBD),Muleta's,4520,"Pubs, Taverns and Bars",Seats - Outdoor,50,-37.80861319, 144.9581156
41,2015,48,101113,101113,59-63 Bourke Street,Melbourne (CBD),Madam Brussels ,4520,"Pubs, Taverns and Bars",Seats - Indoor,50,-37.81212537, 144.9715659
42,2015,48,101113,101113,59-63 Bourke Street,Melbourne (CBD),Madam Brussels ,4520,"Pubs, Taverns and Bars",Seats - Outdoor,100,-37.81212537, 144.9715659
43,2015,17,103924,103924,107-109 Flinders Lane,Melbourne (CBD),Bambu Bar,4520,"Pubs, Taverns and Bars",Seats - Indoor,80,-37.81560645, 144.9708344
44,2015,17,104021,104021,142-148 Flinders Street,Melbourne (CBD),The Duke,4520,"Pubs, Taverns and Bars",Seats - Indoor,240,-37.81640747, 144.9700863
45,2015,27,597183,102071,121-131 Collins Street,Melbourne (CBD),Spice Market,4520,"Pubs, Taverns and Bars",Seats - Indoor,140,-37.81516811, 144.9698467
46,2015,87,101023,101023,25 Bennetts Lane,Melbourne (CBD),Bennetts Lane Jazz Club,4520,"Pubs, Taverns and Bars",Seats - Indoor,250,-37.80889245, 144.967558
47,2015,87,108567,108567,300 Russell Street,Melbourne (CBD),Jankara Japanese Bar,4520,"Pubs, Taverns and Bars",Seats - Indoor,40,-37.80951668, 144.966904
48,2015,58,101238,101238,2-8 Bourke Street,Melbourne (CBD),Imperial Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,200,-37.8112003, 144.972676
49,2015,58,101238,101238,2-8 Bourke Street,Melbourne (CBD),Imperial Hotel,4520,"Pubs, Taverns and Bars",Seats - Outdoor,68,-37.8112003, 144.972676
50,2015,58,105828,105828,19-25 Little Bourke Street,Melbourne (CBD),Mrs Parma's ,4520,"Pubs, Taverns and Bars",Seats - Indoor,60,-37.81074304, 144.9719903
51,2015,48,101109,101109,39-43 Bourke Street,Melbourne (CBD),Spleen Central,4520,"Pubs, Taverns and Bars",Seats - Indoor,100,-37.81193572, 144.9720472
52,2015,48,101113,101113,59-63 Bourke Street,Melbourne (CBD),Club Asuka,4520,"Pubs, Taverns and Bars",Seats - Indoor,80,-37.81212537, 144.9715659
53,2015,48,103626,103626,114-122 Exhibition Street,Melbourne (CBD),European Bier Cafe,4520,"Pubs, Taverns and Bars",Seats - Indoor,250,-37.81285806, 144.9711999
54,2015,38,105911,105911,37 Little Collins Street,Melbourne (CBD),Bar Lourinha,4520,"Pubs, Taverns and Bars",Seats - Indoor,60,-37.81278444, 144.9724927
55,2015,38,105912,105912,39-41 Little Collins Street,Melbourne (CBD),Lupino,4520,"Pubs, Taverns and Bars",Seats - Indoor,60,-37.81279876, 144.9723932
56,2015,78,103618,103618,242-284 Exhibition Street,Melbourne (CBD),Coopers Inn,4520,"Pubs, Taverns and Bars",Seats - Indoor,300,-37.80941489, 144.9699756
57,2015,78,103618,103618,242-284 Exhibition Street,Melbourne (CBD),Coopers Inn,4520,"Pubs, Taverns and Bars",Seats - Outdoor,16,-37.80941489, 144.9699756
58,2015,115,104103,104103,34-38 Franklin Street,Melbourne (CBD),Captain Melville ,4520,"Pubs, Taverns and Bars",Seats - Indoor,160,-37.80752292, 144.9616126
59,2015,115,104103,104103,34-38 Franklin Street,Melbourne (CBD),Captain Melville ,4520,"Pubs, Taverns and Bars",Seats - Outdoor,70,-37.80752292, 144.9616126
60,2015,48,503031,503031,19-23 Meyers Place,Melbourne (CBD),Loop Project Space & Bar,4520,"Pubs, Taverns and Bars",Seats - Indoor,30,-37.8121518, 144.9721078
61,2015,48,503031,503031,19-23 Meyers Place,Melbourne (CBD),Loop Project Space & Bar,4520,"Pubs, Taverns and Bars",Seats - Outdoor,148,-37.8121518, 144.9721078
62,2015,104,103219,103219,413-417 Elizabeth Street,Melbourne (CBD),Workshop,4520,"Pubs, Taverns and Bars",Seats - Indoor,50,-37.80918797, 144.9605226
63,2015,104,103219,103219,413-417 Elizabeth Street,Melbourne (CBD),Workshop,4520,"Pubs, Taverns and Bars",Seats - Outdoor,40,-37.80918797, 144.9605226
64,2015,105,109318,109318,427-457 Swanston Street,Melbourne (CBD),The Oxford Scholar Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,140,-37.80826292, 144.9626932
65,2015,105,109318,109318,427-457 Swanston Street,Melbourne (CBD),The Oxford Scholar Hotel,4520,"Pubs, Taverns and Bars",Seats - Outdoor,56,-37.80826292, 144.9626932
66,2015,114,109493,109493,143-151 Therry Street,Melbourne (CBD),The Mercant Cross Hotel / Fancy Hanks Bar-B-Que,4520,"Pubs, Taverns and Bars",Seats - Indoor,230,-37.80792152, 144.9583711
67,2015,74,106018,106018,395-397 Little Lonsdale Street,Melbourne (CBD),Horse Bazaar,4520,"Pubs, Taverns and Bars",Seats - Indoor,50,-37.81190077, 144.9602499
68,2015,15,109257,109257,1-7 Swanston Street,Melbourne (CBD),Young & Jacksons,4520,"Pubs, Taverns and Bars",Seats - Indoor,120,-37.817356, 144.967023
69,2015,46,101130,101130,193-199 Bourke Street,Melbourne (CBD),The Carlton Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,140,-37.81320485, 144.9676452
70,2015,35,102141,102141,280-292 Collins Street,Melbourne (CBD),The Charles Dickens Tavern,4520,"Pubs, Taverns and Bars",Seats - Indoor,120,-37.81567229, 144.9645574
71,2015,14,103946,103946,313-315 Flinders Lane,Melbourne (CBD),Randy Dragon,4520,"Pubs, Taverns and Bars",Seats - Indoor,60,-37.81763918, 144.9638507
72,2015,65,105875,105875,318-322 Little Bourke Street,Melbourne (CBD),NANT Whisky Bar,4520,"Pubs, Taverns and Bars",Seats - Indoor,24,-37.81292437, 144.9631276
73,2015,65,105875,105875,318-322 Little Bourke Street,Melbourne (CBD),NANT Whisky Bar,4520,"Pubs, Taverns and Bars",Seats - Outdoor,8,-37.81292437, 144.9631276
74,2015,14,103172,103172,31-39 Elizabeth Street,Melbourne (CBD),The Joint Bar,4520,"Pubs, Taverns and Bars",Seats - Indoor,88,-37.81741878, 144.9643316
75,2015,14,103172,103172,31-39 Elizabeth Street,Melbourne (CBD),The Joint Bar,4520,"Pubs, Taverns and Bars",Seats - Outdoor,46,-37.81741878, 144.9643316
76,2015,6,578321,573333,2 Swanston Street,Melbourne (CBD),Beer De Luxe,4520,"Pubs, Taverns and Bars",Seats - Indoor,200,-37.81784465, 144.9699175
77,2015,6,578321,573333,2 Swanston Street,Melbourne (CBD),Beer De Luxe,4520,"Pubs, Taverns and Bars",Seats - Outdoor,400,-37.81784465, 144.9699175
78,2015,46,105962,105962,218-242 Little Collins Street,Melbourne (CBD),Little Sista,4520,"Pubs, Taverns and Bars",Seats - Indoor,80,-37.81413595, 144.9667836
79,2015,46,105962,105962,218-242 Little Collins Street,Melbourne (CBD),Little Sista,4520,"Pubs, Taverns and Bars",Seats - Outdoor,48,-37.81413595, 144.9667836
80,2015,65,105875,105875,318-322 Little Bourke Street,Melbourne (CBD),Penny Blue,4520,"Pubs, Taverns and Bars",Seats - Outdoor,14,-37.81292437, 144.9631276
81,2015,66,109436,109436,27-29 Tattersalls Lane,Melbourne (CBD),Section 8 Bar,4520,"Pubs, Taverns and Bars",Seats - Outdoor,40,-37.81176167, 144.9653899
82,2015,76,589841,105749,221 Little Lonsdale Street,Melbourne (CBD),Father's Office,4520,"Pubs, Taverns and Bars",Seats - Indoor,170,-37.810658, 144.9657034
83,2015,66,108550,108550,213-217 Russell Street,Melbourne (CBD),Escape City,4520,"Pubs, Taverns and Bars",Seats - Indoor,45,-37.81156167, 144.9672365
84,2015,85,102596,102596,22 Drewery Place,Melbourne (CBD),Sister Bellas,4520,"Pubs, Taverns and Bars",Seats - Indoor,40,-37.81135, 144.9638158
85,2015,6,578324,573333,2 Swanston Street,Melbourne (CBD),Transit Cocktail Lounge,4520,"Pubs, Taverns and Bars",Seats - Indoor,40,-37.81784465, 144.9699175
86,2015,25,101789,101789,252-254 Flinders Lane,Melbourne (CBD),Hell's Kitchen,4520,"Pubs, Taverns and Bars",Seats - Indoor,55,-37.8166033, 144.9655966
87,2015,56,108538,108538,163-169 Russell Street,Melbourne (CBD),Eden Bar,4520,"Pubs, Taverns and Bars",Seats - Indoor,150,-37.81246709, 144.9676479
88,2015,56,108538,108538,163-169 Russell Street,Melbourne (CBD),Eden Bar,4520,"Pubs, Taverns and Bars",Seats - Outdoor,50,-37.81246709, 144.9676479
89,2015,64,105705,105705,383-387 Lonsdale Street,Melbourne (CBD),Niagara Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,60,-37.81283306, 144.9611929
90,2015,45,105960,105960,318-322 Little Collins Street,Melbourne (CBD),New Guernica,4520,"Pubs, Taverns and Bars",Seats - Indoor,120,-37.81488174, 144.9640121
91,2015,66,109392,109392,248-258 Swanston Street,Melbourne (CBD),Cookie,4520,"Pubs, Taverns and Bars",Seats - Indoor,200,-37.81199559, 144.9652504
92,2015,45,105960,105960,318-322 Little Collins Street,Melbourne (CBD),Chuckle Park,4520,"Pubs, Taverns and Bars",Seats - Indoor,50,-37.81488174, 144.9640121
93,2015,46,108536,108536,115-127 Russell Street,Melbourne (CBD),Portland Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,100,-37.81367486, 144.9681892
94,2015,46,108536,108536,115-127 Russell Street,Melbourne (CBD),Portland Hotel,4520,"Pubs, Taverns and Bars",Seats - Outdoor,40,-37.81367486, 144.9681892
95,2015,74,104662,104662,106-112 Hardware Street,Melbourne (CBD),Nieuw Amsterdam,4520,"Pubs, Taverns and Bars",Seats - Indoor,120,-37.81213605, 144.9606805
96,2015,84,105449,105449,293-299 La Trobe Street,Melbourne (CBD),Duke of Kent Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,160,-37.81081439, 144.9605086
97,2015,14,103951,103951,341-347 Flinders Lane,Melbourne (CBD),Bull And Bear Tavern,4520,"Pubs, Taverns and Bars",Seats - Indoor,150,-37.81782313, 144.9630313
98,2015,64,105869,105869,386-392 Little Bourke Street,Melbourne (CBD),Khokolat Bar,4520,"Pubs, Taverns and Bars",Seats - Indoor,34,-37.81359799, 144.9610735
99,2015,64,105869,105869,386-392 Little Bourke Street,Melbourne (CBD),Khokolat Bar,4520,"Pubs, Taverns and Bars",Seats - Outdoor,20,-37.81359799, 144.9610735
100,2015,64,104376,104376,14-20 Goldie Place,Melbourne (CBD),Word,4520,"Pubs, Taverns and Bars",Seats - Indoor,72,-37.81328585, 144.960731
101,2015,36,102152,102152,162-168 Collins Street,Melbourne (CBD),The Long Room,4520,"Pubs, Taverns and Bars",Seats - Indoor,70,-37.81450301, 144.9678476
